City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
303,chibougamau,49.9168,-74.3659,-7.21,93,0,1.54,CA,1709713709
304,trinidad,-14.8333,-64.9,22.69,99,100,1.32,BO,1709713709
305,dunedin,-45.8742,170.5036,13.22,73,20,0.45,NZ,1709713631
306,kenitra,34.261,-6.5802,10.42,77,0,0.19,MA,1709713709
307,fort mcmurray,56.7268,-111.381,-21.27,77,0,2.06,CA,1709713706
308,adrar,20.5022,-10.0711,19.42,10,5,3.79,MR,1709713709
309,kuusamo,65.9667,29.1833,-4.98,100,100,3.6,FI,1709713710
310,pacocha,-17.5833,-71.3333,21.92,90,100,2.26,PE,1709713710
311,prince rupert,54.3161,-130.3201,0.83,63,75,8.75,CA,1709713710
312,al kharijah,25.4514,30.5464,25.72,14,0,5.4,EG,1709713710
313,ta`u,-14.2336,-169.5144,28.42,76,17,6.3,AS,1709713710
314,fada,9.5667,8.3,27.69,54,93,1.27,NG,1709713710
315,pariaman,-0.619,100.12,33.03,77,96,2.29,ID,1709713710
316,coxen hole,16.3244,-86.5366,25.95,84,0,2.53,HN,1709713710
317,hadibu,12.65,54.0333,28.33,66,8,1.84,YE,1709713710
318,trubchevsk,52.5798,33.7644,-1.14,73,98,4.89,RU,1709713711
319,el bauga,18.262,33.9081,30.2,9,0,7.4,SD,1709713711
320,aromashevo,56.8602,68.6375,-9.23,80,85,1.74,RU,1709713711
321,goryachiy klyuch,44.6308,39.13,9.68,60,99,3.16,RU,1709713715
322,hede,33.7681,120.2517,6.41,56,100,5.79,CN,1709713715
323,turpan,42.9333,89.1667,10.57,16,0,1.15,CN,1709713715
324,alofi,-19.0595,-169.9187,25.94,89,20,2.06,NU,1709713715
325,al bardiyah,31.7561,25.0865,15.57,68,8,7.45,LY,1709713715
326,kulmbach,50.1,11.45,8.52,88,100,3.06,DE,1709713716
327,fort-de-france,14.6089,-61.0733,24.97,73,0,2.57,MQ,1709713534
328,aldinga beach,-35.2793,138.4604,30.42,54,25,7.4,AU,1709713716
329,nogliki,51.8333,143.1667,-9.25,83,100,4.02,RU,1709713716
330,general mosconi,-23.1851,-62.303,21.88,91,97,2.0,AR,1709713716
331,yanam,16.7333,82.2167,33.69,39,41,3.8,IN,1709713716
332,corumba,-19.0092,-57.6533,22.54,95,77,0.35,BR,1709713716
333,aasiaat,68.7098,-52.8699,-18.0,98,100,1.4,GL,1709713716
334,qui nhon,13.7667,109.2333,27.49,77,38,7.21,VN,1709713716
335,hanzhong,33.0728,107.0303,15.2,27,99,1.78,CN,1709713717
336,arraial do cabo,-22.9661,-42.0278,24.9,95,100,6.8,BR,1709713717
337,medina,24.4686,39.6142,27.24,13,20,3.09,SA,1709713717
338,new norfolk,-42.7826,147.0587,22.72,48,5,2.77,AU,1709713717
339,tibati,6.4667,12.6333,28.69,53,100,0.64,CM,1709713717
340,ujae,8.9322,165.7642,26.66,80,100,12.2,MH,1709713717
341,yerofey pavlovich,53.9667,121.9667,-7.56,60,95,2.22,RU,1709713717
342,juliaca,-15.5,-70.1333,6.26,89,100,2.39,PE,1709713717
343,katsuren-haebaru,26.3369,127.8719,21.43,80,100,6.17,JP,1709713717
344,island harbour,50.724,-1.2758,5.55,95,26,1.3,GB,1709713718
345,rongelap,11.1635,166.8941,26.31,80,100,11.1,MH,1709713718
346,san julian,21.0167,-102.1667,13.24,24,2,1.87,MX,1709713718
347,broome,42.2506,-75.833,9.28,96,100,0.89,US,1709713718
348,sinop,41.7711,34.8709,7.24,80,100,2.1,TR,1709713718
349,almyros,39.1822,22.7594,15.17,67,20,0.0,GR,1709713718
350,val-d'or,48.1002,-77.7828,-3.95,100,0,3.6,CA,1709713718
351,okhotsk,59.3833,143.3,-9.09,94,100,0.75,RU,1709713718
352,codrington,-38.2667,141.9667,18.43,79,5,5.1,AU,1709713718
353,hithadhoo,-0.6,73.0833,28.33,78,78,5.16,MV,1709713718
354,pohang,36.0322,129.365,6.52,71,100,7.5,KR,1709713719
355,kintampo,8.0563,-1.7306,28.16,62,100,1.62,GH,1709713719
356,necochea,-38.5473,-58.7368,10.1,81,85,4.19,AR,1709713719
357,kendari,-3.945,122.4989,29.56,75,83,1.93,ID,1709713719
358,rundu,-17.9333,19.7667,31.09,30,75,3.26,NA,1709713719
359,new plymouth,-39.0667,174.0833,12.67,65,34,3.45,NZ,1709713719
